,Название,Район,Адрес,Метро,Телефон,Вконтакте,Инстаграм
149,TeamDem Lounge,Admiralteysky,"Загородный просп., 40Б",Звенигородская,+7 (921) 905-70-25,http://vk.com/teamdem_lounge,https://www.instagram.com/teamdem_lounge
150,Feromon 5 uglov,Admiralteysky,"ул. Ломоносова, 18, Центральный район",Достоевская,+7 (812) 907-07-95,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
151,Компьютерный клуб КиберТрек,Admiralteysky,"Загородный просп., 42",Звенигородская,+7 (999) 038-65-78,https://vk.com/cybertrack,https://www.instagram.com/cyber_track/
152,Royal Smoke,Admiralteysky,"наб. канала Грибоедова, 22",Невский проспект,+7 (911) 929-97-00,http://vk.com/royalsmokespb,http://www.instagram.com/royalsmokespb
153,El Grano,Admiralteysky,"4-я Красноармейская ул., 2/35",Технологический институт-1,+7 (969) 733-02-40,https://vk.com/elgrano_hookah,https://www.instagram.com/elgrano_hookah
154,Wtf Time-Bar,Admiralteysky,"Большая Морская ул., 17",Адмиралтейская,+7 (921) 909-41-95,https://vk.com/wtf_spb,https://www.instagram.com/wtf_spb
155,Root Lounge,Admiralteysky,"Большой просп. Васильевского острова, 38",Василеостровская,+7 (965) 756-75-75,https://vk.com/spb_root_lounge,http://www.instagram.com/root_lounge
156,ТОКИО-CITY,Nevsky,"просп. Большевиков, 7, корп. 2",Проспект Большевиков,+7 (812) 207-50-87,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
157,ТОКИО-CITY,Nevsky,"ул. Ольги Берггольц, 8",Елизаровская,+7 (812) 207-19-10,https://vk.com/club10958821,https://www.instagram.com/tokyocity.ru/
158,Feromon Freemens,Nevsky,"Ивановская ул., 17",Ломоносовская,+7 (812) 965-00-97,https://vk.com/feromongroup,https://www.instagram.com/feromongroup/
159,Friday hookah,Nevsky,"Октябрьская наб., 62, корп. 1",Ломоносовская,+7 (999) 222-00-54,Не указано,https://www.instagram.com/friday_hookah
160,Кальянная Black Work,Nevsky,"ул. Латышских Стрелков, 1",Проспект Большевиков,+7 (931) 315-83-81,https://vk.com/blackworkhookah,https://www.instagram.com/blackworkhookah/
161,P. S. Lounge bar,Nevsky,"Невский просп., 81",Площадь Восстания,+7 (812) 241-17-52,https://vk.com/lounge_ps,https://www.instagram.com/lounge_ps
162,Neighbours,Nevsky,"просп. Обуховской Обороны, 195",Пролетарская,+7 (812) 967-07-81,https://vk.com/neighbourspb,https://www.instagram.com/neighborspb
163,Антикафе GomerZone,Nevsky,"ул. Дыбенко, 13, корп. 1",Улица Дыбенко,+7 (999) 026-40-08,https://vk.com/gomerzone,https://www.instagram.com/gomerzone/
164,P. S. Lounge bar,Nevsky,"ул. Правды, 9/10",Звенигородская,+7 (812) 241-17-53,https://vk.com/ps_pravdi,https://www.instagram.com/ps_pravdi/
